t=2026-08-23T10:22:00+0530 lvl=info msg="no configuration paths supplied"
t=2026-08-23T10:22:00+0530 lvl=info msg="using configuration at default config path" path="/Users/muhammadnihadot/Library/Application Support/ngrok/ngrok.yml"
t=2026-08-23T10:22:00+0530 lvl=info msg="open config file" path="/Users/muhammadnihadot/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-08-23T10:22:00+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-23T10:22:00+0530 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2026-08-23T10:22:00+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4041 allow_hosts=[]
t=2026-08-23T10:22:01+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=63594cc66b21 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=bb1e80dfce7b l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=912ad0389da7 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=d9f541a98efd l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=dc7008eb8157 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=86a229df366b l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=c2f3b577bcaf l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=1c2d92ca5426 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=0d5eee8137a1 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=d3202cc12cb8 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:36+0530 lvl=info msg="join connections" obj=join id=006dc74a41b4 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:23:41+0530 lvl=info msg="join connections" obj=join id=491b8a940e8e l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52129
t=2026-08-23T10:23:41+0530 lvl=info msg="join connections" obj=join id=7a4432c3c3a1 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59778
t=2026-08-23T10:23:44+0530 lvl=info msg="join connections" obj=join id=ad80702e662f l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52133
t=2026-08-23T10:23:44+0530 lvl=info msg="join connections" obj=join id=e12da45b9070 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59782
t=2026-08-23T10:23:45+0530 lvl=info msg="join connections" obj=join id=839c061d19c9 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59784
t=2026-08-23T10:23:46+0530 lvl=info msg="join connections" obj=join id=00a6c98e2bd0 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52138
t=2026-08-23T10:23:47+0530 lvl=info msg="join connections" obj=join id=5dc3520b99ae l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59786
t=2026-08-23T10:23:48+0530 lvl=info msg="join connections" obj=join id=14f124c91075 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59788
t=2026-08-23T10:23:52+0530 lvl=info msg="join connections" obj=join id=e8597108a28f l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52143
t=2026-08-23T10:23:54+0530 lvl=info msg="join connections" obj=join id=a99446461afc l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59790
t=2026-08-23T10:23:58+0530 lvl=info msg="join connections" obj=join id=8b52dd4735e3 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52146
t=2026-08-23T10:23:59+0530 lvl=info msg="join connections" obj=join id=bc7fab5bf2aa l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59792
t=2026-08-23T10:24:05+0530 lvl=info msg="join connections" obj=join id=57fb4acccc8c l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52150
t=2026-08-23T10:24:05+0530 lvl=info msg="join connections" obj=join id=20fdfd62917a l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59794
t=2026-08-23T10:24:11+0530 lvl=info msg="join connections" obj=join id=9b8225e2c19e l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59797
t=2026-08-23T10:24:11+0530 lvl=info msg="join connections" obj=join id=e8b4eb53bce7 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52155
t=2026-08-23T10:24:16+0530 lvl=info msg="join connections" obj=join id=640a1132e7fd l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59799
t=2026-08-23T10:24:17+0530 lvl=info msg="join connections" obj=join id=1b39013994eb l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52158
t=2026-08-23T10:24:21+0530 lvl=info msg="join connections" obj=join id=21a92d00e692 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59801
t=2026-08-23T10:24:23+0530 lvl=info msg="join connections" obj=join id=b5bb2e7ba083 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52161
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=f26bc61354a3 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59803
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=e1ef6d3ffa69 l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=6740a7bea8ec l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
t=2026-08-23T10:24:27+0530 lvl=info msg="join connections" obj=join id=b2f008ab6eba l=[::1]:3000 r=[2409:40f3:1433:4085:2da8:953e:f570:f5d2]:59772
